"IP","Domain","Country","Region","City","ISP","ASN","Lat","Long"
"194.143.136.122","","Ukraine","","","TOV TRK Briz","34661","50.4522","30.5287"
"113.160.133.8","static.vnpt.vn","Vietnam","Hanoi","Hanoi","VNPT Corp","45899","21.0292","105.8526"
"176.8.55.92","176-8-55-92.broadband.kyivstar.net","Ukraine","Zakarpattia Oblast","Uzhhorod","Kyivstar PJSC","15895","48.6191","22.3025"
"194.44.38.51","tmp38-51.solver.net.ua","Ukraine","Poltava Oblast","Kotelva","Science Production Enterprise Solver Ltd","15461","50.0726","34.7576"
"185.234.216.59","","Russia","Moscow","Moscow","Chang Way Technologies Co. Limited","57523","55.7483","37.6171"
"212.83.185.105","xrgea4.stackhero-network.com","France","Seine-Saint-Denis","L'Ile-Saint-Denis","Scaleway S.a.s.","12876","48.937","2.3413"
"131.253.18.12","","United States","Washington","","","","47.6034","-122.3414"
"131.253.18.11","","United States","Washington","","","","47.6034","-122.3414"
"46.149.184.5","tun-46-149-184-5.kim.in.ua","Ukraine","Ivano-Frankivsk Oblast","Kalush","Kaluska informatsiyna merezha LLC","197522","49.0099","24.3716"
"46.211.241.39","46-211-241-39.mobile.kyivstar.net","Ukraine","Kyiv City","Kyiv","Kyivstar PJSC","15895","50.458","30.5303"
"192.168.100.3","","Private network","","","","","0","0"
